Temps,EA0,Temps,EA1
0.02825,-1.57406650483608,0.02825,-0.237099992111325
0.028375,-1.57406650483608,0.028375,-0.237099992111325
0.0285,-1.56404380127788,0.0285,-0.232129327952862
0.028625,-1.55903244949877,0.028625,-0.232129327952862
0.02875,-1.55903244949877,0.02875,-0.232129327952862
0.028875,-1.55903244949877,0.028875,-0.232129327952862
0.029,-1.54900974594057,0.029,-0.227158663794398
0.029125,-1.54399839416146,0.029125,-0.222187999635935
0.02925,-1.53898704238236,0.02925,-0.217217335477471
0.029375,-1.52896433882415,0.029375,-0.212246671319008
0.0295,-1.53397569060326,0.0295,-0.217217335477471
0.029625,-1.52395298704505,0.029625,-0.212246671319008
0.02975,-1.51894163526595,0.02975,-0.207276007160544
0.029875,-1.50891893170774,0.029875,-0.202305343002081
0.03,-1.50891893170774,0.03,-0.202305343002081
0.030125,-1.50390757992864,0.030125,-0.197334678843617
0.03025,-1.49388487637043,0.03025,-0.192364014685154
